"filename","mzmine_sample_type","run_date"
"ext_blank_2A_NdCl3_80_3.mzML","blank","2025-05-10T10:11:39"
"method_blk_1.mzML","blank","2025-05-10T01:20:40"
"instr_blk_2.mzML","blank","2025-05-11T11:47:02"
"method_blk_2.mzML","blank","2025-05-10T02:46:22"
"HHM_Media_Blank_1B_2.mzML","blank","2025-05-10T17:02:26"
"instr_blk_3.mzML","blank","2025-05-11T12:04:30"
"method_blk_3.mzML","blank","2025-05-10T04:11:57"
"instr_blk4.mzML","blank","2025-05-11T12:21:59"
"method_blk_5.mzML","blank","2025-05-10T09:54:30"
"method_blk_4.mzML","blank","2025-05-10T07:03:15"
"method_blk_6.mzML","blank","2025-05-10T14:11:18"
"method_blk_7.mzML","blank","2025-05-10T15:54:02"
"method_blk_8.mzML","blank","2025-05-10T16:11:08"
"method_blk_9.mzML","blank","2025-05-10T20:10:52"
"method_blk_10.mzML","blank","2025-05-10T20:27:58"
"method_blk_12.mzML","blank","2025-05-11T03:55:17"
"method_blk_11.mzML","blank","2025-05-11T03:03:14"
"method_blk_13.mzML","blank","2025-05-11T04:12:45"
"method_blk_14.mzML","blank","2025-05-11T04:30:13"
"method_blk_16.mzML","blank","2025-05-11T07:07:30"
"method_blk_15.mzML","blank","2025-05-11T05:57:37"
"method_blk_17.mzML","blank","2025-05-11T07:59:55"
"method_blk_18.mzML","blank","2025-05-11T08:17:23"
"mxaF_1B_80MeOH.mzML","sample","2025-05-10T21:02:10"
"method_blk_19.mzML","blank","2025-05-11T09:44:44"
"method_blk_20.mzML","blank","2025-05-11T11:29:34"
"mxaF_2B_80MeOH.mzML","sample","2025-05-10T21:19:19"
"mxaF_3B_80MeOH.mzML","sample","2025-05-10T21:36:27"
"mxaF_4B_80MeOH.mzML","sample","2025-05-10T21:53:35"
