featureIDs,X4132_1A_80MeOH_NdCL3.mzML,X4132_2A_80MeOH_NdCL3.mzML,X4132_3A_80MeOH_NdCL3.mzML,X4132_4A_80MeOH_NdCL3.mzML,X4133_1A_80MeOH_NdCl3.mzML,X4133_2A_80MeOH_NdCl3.mzML,X4133_3A_80MeOH_NdCl3_.mzML,X4133_4A_80MeOH_NdCl3_.mzML,logFC,pvalue,logpval,Sample_Type,,,
765,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
744,4.14083112338851e-06,1.62334254022429e-06,4.60090489175282e-06,3.29386201598653e-06,3.32086583927697e-06,2.47453266291735e-07,4.13236425067422e-06,2.85339529614753e-07,0.774296477,0.291282831,0.535685113,Not Significant,,,
764,5.1255801627354e-05,1.93002578469502e-05,5.08203730637338e-05,4.63891173003994e-05,5.00186546566529e-05,1.42305055369794e-05,5.07537862108274e-05,2.71799105168743e-05,0.238698964,0.607005315,0.216807507,Not Significant,,,
753,2.10777096418848e-05,2.95676280504731e-05,1.21701552672693e-05,7.0275214989747e-06,5.72587650217232e-06,6.37437421618396e-05,1.62971221283507e-05,0.000119593,-1.555965647,0.285255283,0.544766303,Not Significant,,,
782,1.3012164378047e-05,4.44016142431852e-05,7.76869814333526e-06,7.59039839443993e-06,1.95441490756404e-05,6.3976971206605e-05,7.67863398447592e-06,5.80071485412659e-05,-1.035841565,0.298502149,0.525052538,Not Significant,,,
786,1.30231591047288e-06,4.26820853700926e-06,3.09470637213322e-06,2.69701174685307e-06,1.62933242552162e-06,2.47453266291735e-07,2.98141645587975e-06,1.6908657354846e-06,0.794886118,0.196860501,0.705841413,Not Significant,,,
826,1.85523797812816e-05,9.89135933103546e-06,1.23879553150389e-05,2.75227790492777e-05,2.08696643691963e-05,9.92570106975541e-06,1.46241246637614e-05,1.18645528022113e-05,0.254902442,0.573395202,0.241545946,Not Significant,,,
775,1.70068442982353e-06,0.00011507,1.04139485071844e-05,5.94084182786981e-06,2.07915984036368e-05,0.000177042,1.10454938976093e-05,2.33756149808398e-05,-0.802921167,0.628019479,0.202026886,Not Significant,,,
781,1.29732070275034e-05,2.32358073680249e-05,1.58233987007311e-05,2.05550603887733e-05,1.38657065075722e-05,1.00668373425705e-05,1.67001152231745e-05,1.61889209301111e-05,0.353281654,0.210426978,0.676898583,Not Significant,,,
776,1.71104947945254e-06,8.41606686020902e-05,6.8823660691039e-06,1.02377935765315e-05,3.06838478236043e-05,0.000143212,6.62414709045576e-06,5.12317614105636e-05,-1.170049706,0.407026774,0.390377022,Not Significant,,,
828,9.40440354771984e-06,4.49759089269791e-06,7.60775297533422e-06,1.82387787898658e-05,1.91595904815094e-05,8.01797357126394e-06,1.16357333214276e-05,1.00438220384597e-05,-0.297667436,0.573645666,0.241356283,Not Significant,,,
774,2.91623741675233e-07,7.15605808484163e-05,3.12805946336575e-05,1.57317927001867e-05,1.37776051793714e-05,0.000185003,2.5662962219553e-05,0.000268885,-2.053229812,0.230965193,0.636453465,Not Significant,,,
779,6.51094897997558e-06,1.04148488244837e-05,1.60567446540028e-06,1.57633608360138e-05,1.04187806194816e-05,6.47240716891081e-06,2.8422807093395e-06,3.18567117600125e-06,0.581438345,0.45189975,0.344957899,Not Significant,,,
770,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
789,6.39927320296285e-06,5.12566377523974e-06,7.27649137020112e-06,1.30055791013014e-05,7.30236587654544e-06,4.72335506173994e-06,9.70585546348039e-06,1.07342816262648e-05,-0.029578695,0.942842779,0.025560721,Not Significant,,,
748,3.4231118397868e-06,5.05007456144899e-05,4.73893043733734e-06,3.18334142793712e-07,1.86415656792111e-06,3.18647676527274e-05,5.17900760356463e-06,2.73944820886771e-05,-0.168808128,0.902221974,0.0446866,Not Significant,,,
784,6.23469048395274e-06,6.72471143177503e-06,2.77652481031217e-06,7.5948508838319e-06,6.77093838707839e-06,3.89542158209568e-06,6.11704057708612e-06,5.41864860299318e-06,0.071541556,0.827073692,0.082455793,Not Significant,,,
785,1.1863226951267e-06,3.5813700837226e-07,1.93593417869567e-06,1.44745473614492e-06,2.93191015147408e-07,2.47453266291735e-07,2.34199973876974e-06,2.85339529614753e-07,0.637393094,0.504591336,0.297060211,Not Significant,,,
780,3.85375658417826e-06,2.27021557369641e-06,6.05006876985942e-06,8.95689936187002e-06,5.78897172300224e-06,3.22033922531488e-06,7.26576683331248e-06,7.74893006345557e-06,-0.185119885,0.698734572,0.155687768,Not Significant,,,
787,7.41332620747815e-06,4.98866725903451e-05,9.0715718715667e-06,1.85195076177384e-05,1.84530721468324e-05,2.09819575058452e-05,5.96264633561532e-06,1.74348872734031e-05,0.434100504,0.626672959,0.202959045,Not Significant,,,
823,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
822,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,1.45625487487746e-06,2.35805769799878e-07,1.86344458954793e-06,-1.670670357,0.207035405,0.683955379,Not Significant,,,
896,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.91401411366898e-06,2.35805769799878e-07,4.08304146983468e-06,-2.638193871,0.199769693,0.699470398,Not Significant,,,
817,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
