"featureID","mz","retention_time","4132_1A_80MeOH_NdCL3.mzML","4132_2A_80MeOH_NdCL3.mzML","4132_3A_80MeOH_NdCL3.mzML","4132_4A_80MeOH_NdCL3.mzML","4132_S1_1D_80MeOH.mzML","4132_S2_2D_80MeOH.mzML","4132_S3_3D_80MeOH.mzML","4132_WT_S10_1D_80MeOH.mzML","4132_WT_S11_2D_80MeOH.mzML","4132_WT_S12_3D_80MeOH.mzML","4133_1A_80MeOH_NdCl3.mzML","4133_2A_80MeOH_NdCl3.mzML","4133_3A_80MeOH_NdCl3_.mzML","4133_4A_80MeOH_NdCl3_.mzML","4133_S4_1D_80MeOH.mzML","4133_S5_2D_80MeOH.mzML","4133_S6_3D_80MeOH.mzML","4133_WT_S13_1D_80MeOH.mzML","4133_WT_S14_2D_80MeOH.mzML","4133_WT_S15_3D_80MeOH.mzML","4134_1A_80MeOH_Nd2O3.mzML","4134_1A_80MeOH_NdCl3.mzML","4134_2A_80MeOH_Nd2O3.mzML","4134_2A_80MeOH_NdCl3.mzML","4134_3A_80MeOH_Nd2O3.mzML","4134_3A_80MeOH_NdCl3.mzML","4134_4A_80MeOH_Nd2O3.mzML","4134_4A_80MeOH_NdCl3.mzML","4135_1A_80MeOH_Nd2O3.mzML","4135_1B_80MeOH.mzML","4135_2A_80MeOH_Nd2O3.mzML","4135_2B_80MeOH.mzML","4135_3A_80MeOH_Nd2O3.mzML","4135_3B_80MeOH.mzML","4135_4A_80MeOH_Nd2O3.mzML","4135_4B_80MeOH.mzML","4136_1A_80MeOH_Nd2O3_dil.mzML","4136_1C_80MeOH.mzML","4136_2A_80MeOH_Nd2O3_dil.mzML","4136_2C_80MeOH.mzML","4136_3A_80MeOH_Nd2O3_dil.mzML","4136_3C_80MeOH.mzML","4136_4A_80MeOH_Nd2O3_dil.mzML","4136_4C_80MeOH.mzML","4137_1E_80.mzML","4137_2E_80.mzML","4137_3E_80.mzML","4137_4E_80.mzML","4138_1B_80MeOH.mzML","4138_1E_80.mzML","4138_2B_80MeOH.mzML","4138_2E_80.mzML","4138_3B_80MeOH.mzML","4138_3E_80.mzML","4138_4B_80MeOH.mzML","4138_4E_80.mzML","4138_S16_1D_80MeOH_dil.mzML","4138_S18_3D_80MeOH_dil.mzML","4138_S7_1D_80MeOH_dil.mzML","4138_S8_2D_80MeOH_dil.mzML","5051_pellet_80_1.mzML","5051_pellet_80_2.mzML","5051_pellet_80_3.mzML","5051_pellet_80_4.mzML","5051_super_80_1.mzML","5051_super_80_2.mzML","5051_super_80_3.mzML","5051_super_80_4.mzML","mxaF_1B_80MeOH.mzML","mxaF_2B_80MeOH.mzML","mxaF_3B_80MeOH.mzML","mxaF_4B_80MeOH.mzML"
32,991.465,0.384,0,0,0,0,133702,20223.127,175388.9,0,0,0,0,644.9942,0,21813.98,359336.56,118364.68,541322.75,7365.042,44738.137,426569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,366.187,0.384,7859.156,30860.5,7353.05,5180.2666,161170.34,81104.97,197749.4,11963.946,1306.0803,8893.109,11970.837,62739.996,14524.584,116491.24,225784.58,140389.19,361494.5,34474.98,70267.76,241208.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,163.108,0.385,115347.05,366543,122917.02,89440.66,1466715.6,675512.94,1777226.6,164801.55,47960.887,109824.76,176917.28,754226.8,168330.5,1444292.6,2416076.5,1454874,3987019.2,463238.03,777965.9,2531046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2544.9868,0,0,0,0,0,0,0,0,2123.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,288.155,0.385,874.6071,4584.9644,0,0,20924.4,9489.2705,27898.09,1510.5781,0,0,2098.3347,12532.984,1086.2405,26305.195,42721.04,26356.406,65586.31,7603.3457,14457.954,44200.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,538.157,0.385,0,4398.162,0,0,19598.176,7169.327,24182.459,0,0,0,293.56198,10559.822,0,33502.883,48372.766,21382.662,67021.62,3740.8955,9745.082,50064.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,547.261,0.385,0,0,0,0,166459.25,64465.63,233891.94,0,0,0,0,969.4589,0,13647.825,255052.33,85477.336,245377.05,12676.872,35071.777,82346.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,188.092,0.389,0,0,0,0,7015.155,9463.381,12844.945,4370.303,6388.318,5260.2827,0,1100.2017,0,2969.2236,5455.5493,7813.33,11868.961,8592.546,8418.22,10555.427,0,0,0,0,0,0,0,0,0,0,0,0,0,1299.888,0,0,0,2402.0725,0,2680.0312,0,2547.8188,0,3817.6133,6858.06,4869.3228,4538.273,7700.7075,0,6580.7554,0,6001.795,0,4535.0137,842.6377,1383.8976,7240.0537,4471.012,6498.3955,5006.276,0,0,0,0,0,0,0,0,454.77856,744.283,658.6222,468.83832
50,714.571,0.392,0,4287.083,0,0,0,771.5015,0,33675.223,0,0,496.21503,252000.08,0,145586.12,0,0,0,792.90393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,170.081,0.393,0,0,0,0,7213.483,2645.0488,8600.364,0,0,0,0,2659.5352,0,7714.6875,9687.553,4948.903,16242.547,1634.9482,2520.614,12042.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,399.344,0.395,0,6096.1245,0,0,0,0,0,2274.805,0,0,937.2333,44315.07,0,10223.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
